"","date_time","laser_tag","laser_reading","second_run_tag","second_run_encoder","third_run_tag","third_run_encoder"
"1","2020-07-01 02:11:10.248","021053R",308.421684336867,"020053R",1238,"020063R",70
"2","2020-07-01 23:31:45.534","021053R",185.497099419884,"020053R",704,"020063R",71
"3","2020-07-02 09:39:16.289","021053R",195.929185837167,"020053R",1236,"020063R",70
"4","2020-07-02 16:39:35.179","021053R",33.9067813562713,"020053R",1242,"020063R",70
"5","2020-07-02 18:46:35.031","021053L",68.3036607321464,"020053L",1242,"020063L",620
"6","2020-07-02 19:05:11.915","021053L",291.858371674335,"020053L",1202,"020063L",70
"7","2020-07-02 19:08:01.689","021053L",293.878775755151,"020053L",1212,"020063L",71
"8","2020-07-03 05:39:39.178","021053R",264.802960592118,"020053R",1242,"020063R",71
"9","2020-07-03 06:28:14.893","021053R",194.638927785557,"020053R",1238,"020063R",70
"10","2020-07-03 06:30:36.373","021053R",195.769153830766,"020053R",1238,"020063R",71
"11","2020-07-03 06:51:49.945","021053R",196.26925385077,"020053R",1238,"020063R",71
"12","2020-07-03 20:39:47.195","021053R",275.725145029006,"020053R",1240,"020063R",70
"13","2020-07-03 20:41:41.570","021053R",265.633126625325,"020053R",1240,"020063R",71
"14","2020-07-03 20:44:21.592","021053R",265.963192638528,"020053R",1240,"020063R",71
"15","2020-07-03 20:45:49.005","021053R",265.623124624925,"020053R",1240,"020063R",70
"16","2020-07-05 13:06:04.442","021053R",305.211042208442,"020053R",1242,"020063R",70
"17","2020-07-05 19:46:30.784","021053L",247.899579915983,"020053L",878,"020063L",14
"18","2020-07-05 20:33:28.148","021053L",247.749549909982,"020053L",28,"020063L",14
"19","2020-07-05 20:37:28.958","021053L",247.099419883977,"020053L",26,"020063L",14
"20","2020-07-05 22:04:11.268","021053L",133.976795359072,"020053L",444,"020063L",71
"21","2020-07-06 03:13:03.987","021053R",194.328865773155,"020053R",1234,"020063R",70
"22","2020-07-06 16:20:03.882","021053R",223.524704940988,"020053R",888,"020063R",70
"23","2020-07-06 16:24:17.381","021053R",223.514702940588,"020053R",890,"020063R",70
"24","2020-07-06 16:26:41.506","021053R",223.264652930586,"020053R",890,"020063R",70
"25","2020-07-06 16:30:40.639","021053R",245.04900980196,"020053R",880,"020063R",13
"26","2020-07-06 16:32:28.553","021053R",245.169033806761,"020053R",26,"020063R",13
"27","2020-07-06 16:35:58.184","021053R",245.349069813963,"020053R",26,"020063R",13
"28","2020-07-06 23:26:12.876","021053L",192.288457691538,"020053L",1238,"020063L",70
"29","2020-07-07 08:35:26.648","021053R",7.97159431886377,"020053R",0,"020063R",71
"30","2020-07-07 11:58:01.497","021053R",286.857371474295,"020053R",1184,"020063R",69
"31","2020-07-07 11:59:59.653","021053R",287.4874974995,"020053R",1188,"020063R",70
"32","2020-07-07 12:02:06.959","021053R",286.827365473095,"020053R",1182,"020063R",70
"33","2020-07-07 12:04:09.434","021053R",288.137627525505,"020053R",1188,"020063R",70
"34","2020-07-07 12:06:25.981","021053R",288.337667533507,"020053R",1190,"020063R",70
"35","2020-07-07 12:17:18.033","021053L",150.0200040008,"020053L",30,"020063L",9
"36","2020-07-07 12:18:41.355","021053L",223.284656931386,"020053L",438,"020063L",3
"37","2020-07-07 12:20:37.266","021053L",223.864772954591,"020053L",2,"020063L",1
"38","2020-07-07 18:15:32.710","021053L",292.628525705141,"020053L",1202,"020063L",70
"39","2020-07-07 18:24:58.675","021053R",275.635127025405,"020053R",1128,"020063R",70
"40","2020-07-07 22:06:56.277","021053R",292.928585717143,"020053R",1212,"020063R",71
"41","2020-07-07 23:29:22.861","021053R",290.05801160232,"020053R",1202,"020063R",69
"42","2020-07-08 04:55:12.307","021053L",292.798559711942,"020053L",1210,"020063L",71
"43","2020-07-08 11:52:16.526","021053R",175.715143028606,"020053R",0,"020063R",71
"44","2020-07-09 01:56:56.414","021053R",181.876375275055,"020053R",700,"020063R",71
"45","2020-07-09 01:58:47.412","021053R",136.20724144829,"020053R",480,"020063R",70
"46","2020-07-09 02:01:17.997","021053R",223.77475495099,"020053R",862,"020063R",71
"47","2020-07-09 02:09:23.680","021053R",206.521304260852,"020053R",784,"020063R",70
"48","2020-07-09 02:12:53.608","021053R",183.146629325865,"020053R",680,"020063R",70
"49","2020-07-09 02:16:05.173","021053R",175.365073014603,"020053R",658,"020063R",71
"50","2020-07-09 02:17:49.497","021053R",69.743948789758,"020053R",134,"020063R",66
"51","2020-07-09 03:46:45.161","021053R",124.374874974995,"020053R",0,"020063R",71
"52","2020-07-09 03:52:44.857","021053R",286.667333466693,"020053R",932,"020063R",72
"53","2020-07-09 06:15:05.723","021053R",293.79875975195,"020053R",1220,"020063R",71
"54","2020-07-09 10:06:21.796","021053L",292.358471694339,"020053L",1216,"020063L",71
"55","2020-07-10 06:53:41.418","021053L",264.932986597319,"020053L",1238,"020063L",70
"56","2020-07-10 16:15:31.018","021053R",42958218.6537307,"020053R",1240,"020063R",70
"57","2020-07-11 01:26:46.662","021053L",319.013802760552,"020053L",1190,"020063L",1
"58","2020-07-11 01:32:12.991","021053L",318.76375275055,"020053L",12,"020063L",7
"59","2020-07-11 01:34:34.674","021053L",320.764152830566,"020053L",18,"020063L",6
"60","2020-07-11 15:15:33.057","021053R",117.45349069814,"020053R",0,"020063R",71
"61","2020-07-12 00:30:06.919","021053R",83.4066813362673,"020053R",0,"020063R",70
"62","2020-07-12 12:23:16.457","021053L",42958215.4230846,"020053L",1240,"020063L",70
"63","2020-07-12 15:25:31.219","021053R",226.825365073015,"020053R",904,"020063R",70
"64","2020-07-12 15:28:37.783","021053R",221.474294858972,"020053R",880,"020063R",71
"65","2020-07-12 16:48:34.685","021053R",128.015603120624,"020053R",0,"020063R",70
"66","2020-07-12 17:09:45.421","021053L",286.657331466293,"020053L",1180,"020063L",70
"67","2020-07-12 17:12:15.432","021053L",291.778355671134,"020053L",1208,"020063L",70
"68","2020-07-12 17:49:53.033","021053R",293.818763752751,"020053R",1218,"020063R",70
"69","2020-07-12 19:20:42.761","021053R",305.05101020204,"020053R",1240,"020063R",70
"70","2020-07-12 20:25:28.957","021053R",70.9241848369674,"020053R",1240,"020063R",620
"71","2020-07-12 22:07:47.518","021053R",289.96799359872,"020053R",1198,"020063R",70
"72","2020-07-12 22:09:17.145","021053R",292.638527705541,"020053R",1208,"020063R",70
"73","2020-07-12 23:54:28.076","021053R",73.7847569513903,"020053R",166,"020063R",70
"74","2020-07-13 00:05:14.017","021053L",193.078615723145,"020053L",1238,"020063L",70
"75","2020-07-13 03:37:38.596","021053L",194.138827765553,"020053L",1240,"020063L",71
"76","2020-07-13 05:13:45.536","021053R",155.461092218444,"020053R",0,"020063R",71
"77","2020-07-13 17:07:00.896","021053R",322.914582916583,"020053R",0,"020063R",71
"78","2020-07-13 18:55:20.997","021053R",128.255651130226,"020053R",0,"020063R",70
"79","2020-07-13 19:06:28.130","021053R",128.405681136227,"020053R",0,"020063R",70
"80","2020-07-14 05:17:02.539","021053R",220.084016803361,"020053R",862,"020063R",71
"81","2020-07-14 05:23:03.476","021053R",221.104220844169,"020053R",866,"020063R",70
"82","2020-07-14 05:25:15.645","021053R",219.583916783357,"020053R",860,"020063R",71
"83","2020-07-14 05:29:09.137","021053R",219.623924784957,"020053R",860,"020063R",71
"84","2020-07-14 05:32:48.080","021053R",219.323864772955,"020053R",860,"020063R",71
"85","2020-07-14 14:57:51.732","021053R",49.4898979795959,"020053R",1238,"020063R",70
"86","2020-07-14 15:13:20.952","021053R",182.50650130026,"020053R",680,"020063R",70
"87","2020-07-14 18:23:21.764","021053R",128.585717143429,"020053R",0,"020063R",70
"88","2020-07-14 18:45:14.257","021053L",253.240648129626,"020053L",1006,"020063L",71
"89","2020-07-15 07:56:15.833","021053L",310.00200040008,"020053L",1238,"020063L",71
"90","2020-07-20 14:22:36.283","021053L",144.878975795159,"020053L",362,"020063L",1
"91","2020-07-20 14:56:26.112","021053R",42958244.2388478,"020053R",0,"020063R",1
"92","2020-07-21 15:58:06.671","021053L",99.3198639727946,"020053L",1236,"020063L",70
"93","2020-07-21 16:35:27.015","021053R",305.821164232847,"020053R",1242,"020063R",71
"94","2020-07-22 05:36:58.652","021053R",66.0432086417283,"020053R",1238,"020063R",71
"95","2020-07-22 06:30:46.605","021053R",42958210.0820164,"020053R",1238,"020063R",70
